RegionName,Change,State,Increased
"San Jose, CA",0.20383545251284707, CA,True
"Corvallis, OR",0.16595833814515698, OR,True
"Los Angeles-Long Beach-Anaheim, CA",0.15032083712375705, CA,True
"Santa Cruz, CA",0.1364333776077729, CA,True
"San Francisco, CA",0.11604074226364192, CA,True
"Napa, CA",0.10138389796271696, CA,True
"Ventura, CA",0.08731393839768103, CA,True
"Urban Honolulu, HI",0.08466368779234507, HI,True
"Santa Rosa, CA",0.08048276748040195, CA,True
"San Diego, CA",0.07848746064992101, CA,True
"Bellingham, WA",0.07609196537605001, WA,True
"Santa Maria-Santa Barbara, CA",0.07061599268783109, CA,True
"Salinas, CA",0.07003478930821211, CA,True
"Prescott, AZ",0.06476853989849998, AZ,True
"San Luis Obispo, CA",0.06064489086929198, CA,True
"Miami-Fort Lauderdale, FL",0.06025716629737701, FL,True
"Punta Gorda, FL",0.057414247700805, FL,True
"Sioux Falls, SD",0.0565542060825726, SD,True
"Grand Forks, ND",0.053562858145449976, ND,True
"Boulder, CO",0.051150822989481926, CO,True
