RegionName,Change,State,Increased
"San Jose, CA",6.060408598392029, CA,True
"Santa Cruz, CA",4.814342106587551, CA,True
"Los Angeles-Long Beach-Anaheim, CA",4.79118829971672, CA,True
"San Francisco, CA",4.2809361113335695, CA,True
"Corvallis, OR",4.0942233494439, OR,True
"Napa, CA",3.8409963081949394, CA,True
"Urban Honolulu, HI",3.4992786793179294, HI,True
"Santa Rosa, CA",3.46885592283921, CA,True
"Santa Maria-Santa Barbara, CA",3.34329581307938, CA,True
"San Diego, CA",3.327025661254109, CA,True
"Salinas, CA",3.2878590905915406, CA,True
"Ventura, CA",3.2756950863646095, CA,True
"San Luis Obispo, CA",3.1188140133186995, CA,True
"Bellingham, WA",2.879307768375591, WA,True
"Boulder, CO",2.618993655714699, CO,True
"Grants Pass, OR",2.577935390069351, OR,True
"Prescott, AZ",2.4770309877634498, AZ,True
"Flagstaff, AZ",2.3531886547061704, AZ,True
"Miami-Fort Lauderdale, FL",2.313636553875859, FL,True
"Riverside, CA",2.3049066950318107, CA,True
