Time,Area,Price-to-income Index
1979-03,United States,2.93
1979-06,United States,2.96
1979-09,United States,2.97
1979-12,United States,2.97
1980-03,United States,2.95
1980-06,United States,2.95
1980-09,United States,2.99
1980-12,United States,2.94
1981-03,United States,2.89
1981-06,United States,2.9
1981-09,United States,2.89
1981-12,United States,2.83
1982-03,United States,2.83
1982-06,United States,2.83
1982-09,United States,2.78
1982-12,United States,2.79
1983-03,United States,2.82
1983-06,United States,2.83
1983-09,United States,2.82
1983-12,United States,2.79
1984-03,United States,2.77
1984-06,United States,2.74
1984-09,United States,2.71
1984-12,United States,2.7
1985-03,United States,2.7
1985-06,United States,2.72
1985-09,United States,2.73
1985-12,United States,2.72
1986-03,United States,2.73
1986-06,United States,2.75
1986-09,United States,2.75
1986-12,United States,2.77
1987-03,United States,2.79
1987-06,United States,2.8
1987-09,United States,2.8
1987-12,United States,2.79
1988-03,United States,2.8
1988-06,United States,2.83
1988-09,United States,2.82
1988-12,United States,2.8
1989-03,United States,2.78
1989-06,United States,2.77
1989-09,United States,2.8
1989-12,United States,2.8
1990-03,United States,2.8
1990-06,United States,2.78
1990-09,United States,2.78
1990-12,United States,2.76
1991-03,United States,2.78
1991-06,United States,2.81
1991-09,United States,2.82
1991-12,United States,2.85
1992-03,United States,2.86
1992-06,United States,2.84
1992-09,United States,2.85
1992-12,United States,2.85
1993-03,United States,2.84
1993-06,United States,2.86
1993-09,United States,2.87
1993-12,United States,2.87
1994-03,United States,2.87
1994-06,United States,2.86
1994-09,United States,2.84
1994-12,United States,2.79
1995-03,United States,2.77
1995-06,United States,2.77
1995-09,United States,2.78
1995-12,United States,2.79
1996-03,United States,2.79
1996-06,United States,2.76
1996-09,United States,2.74
1996-12,United States,2.73
1997-03,United States,2.73
1997-06,United States,2.72
1997-09,United States,2.73
1997-12,United States,2.74
1998-03,United States,2.74
1998-06,United States,2.75
1998-09,United States,2.75
1998-12,United States,2.75
1999-03,United States,2.75
1999-06,United States,2.76
1999-09,United States,2.8
1999-12,United States,2.87
2000-03,United States,2.92
2000-06,United States,2.96
2000-09,United States,2.97
2000-12,United States,3.0
2001-03,United States,3.04
2001-06,United States,3.09
2001-09,United States,3.12
2001-12,United States,3.17
2002-03,United States,3.21
2002-06,United States,3.24
2002-09,United States,3.28
2002-12,United States,3.33
2003-03,United States,3.38
2003-06,United States,3.43
2003-09,United States,3.47
2003-12,United States,3.53
2004-03,United States,3.6
2004-06,United States,3.67
2004-09,United States,3.75
2004-12,United States,3.79
2005-03,United States,3.84
2005-06,United States,3.91
2005-09,United States,4.0
2005-12,United States,4.05
2006-03,United States,4.07
2006-06,United States,4.08
2006-09,United States,4.07
2006-12,United States,4.05
2007-03,United States,4.01
2007-06,United States,3.95
2007-09,United States,3.87
2007-12,United States,3.8
2008-03,United States,3.7
2008-06,United States,3.55
2008-09,United States,3.44
2008-12,United States,3.36
2009-03,United States,3.36
2009-06,United States,3.31
2009-09,United States,3.3
2009-12,United States,3.28
2010-03,United States,3.27
2010-06,United States,3.22
2010-09,United States,3.17
2010-12,United States,3.12
2011-03,United States,3.05
2011-06,United States,3.0
2011-09,United States,2.96
2011-12,United States,2.95
2012-03,United States,2.93
2012-06,United States,2.94
2012-09,United States,2.94
2012-12,United States,2.93
2013-03,United States,2.97
2013-06,United States,3.02
2013-09,United States,3.1
2013-12,United States,3.13
2014-03,United States,3.14
2014-06,United States,3.15
2014-09,United States,3.15
2014-12,United States,3.15
2015-03,United States,3.16
2015-06,United States,3.17
2015-09,United States,3.19
2015-12,United States,3.2
2016-03,United States,3.22
2016-06,United States,3.25
2016-09,United States,3.3
2016-12,United States,3.33
2017-03,United States,3.36
2017-06,United States,3.4
2017-09,United States,3.44
2017-12,United States,3.48
2018-03,United States,3.54
2018-06,United States,3.58
1979-03,"New York, NY",2.94
1979-06,"New York, NY",2.97
1979-09,"New York, NY",2.98
1979-12,"New York, NY",2.97
1980-03,"New York, NY",3.02
1980-06,"New York, NY",3.01
1980-09,"New York, NY",3.08
1980-12,"New York, NY",3.0
1981-03,"New York, NY",3.04
1981-06,"New York, NY",3.09
1981-09,"New York, NY",3.15
1981-12,"New York, NY",3.04
1982-03,"New York, NY",2.94
1982-06,"New York, NY",3.03
1982-09,"New York, NY",2.98
