RegionName,Change,State,Increased
"Santa Rosa, CA",0.12353751059587098, CA,True
"Miami-Fort Lauderdale, FL",0.12301126884088104, FL,True
"Port St. Lucie, FL",0.11749802649288896, FL,True
"Santa Cruz, CA",0.10612297525570902, CA,True
"New York, NY",0.09904277086331503, NY,True
"New Orleans, LA",0.09846559493184498, LA,True
"Salinas, CA",0.09740507106697605, CA,True
"Jackson, MS",0.09472387070861699, MS,True
"Medford, OR",0.08831316190294602, OR,True
"Bend, OR",0.08763396118154607, OR,True
"San Francisco, CA",0.08618537460825598, CA,True
"Charleston, SC",0.08553245053902003, SC,True
"Boise City, ID",0.085395121938171, ID,True
"Wilmington, NC",0.08364076408184798, NC,True
"Orlando, FL",0.07908205046364106, FL,True
"Rapid City, SD",0.07875931342242404, SD,True
"Tuscaloosa, AL",0.07740985046484705, AL,True
"San Jose, CA",0.07635340910173594, CA,True
"Los Angeles-Long Beach-Anaheim, CA",0.07506305171471395, CA,True
"Nashville, TN",0.07432839048594403, TN,True
