Time,Area,Renter Affordability
1979-03,United States,0.248
1979-06,United States,0.247
1979-09,United States,0.245
1979-12,United States,0.244
1980-03,United States,0.242
1980-06,United States,0.243
1980-09,United States,0.244
1980-12,United States,0.245
1981-03,United States,0.244
1981-06,United States,0.244
1981-09,United States,0.244
1981-12,United States,0.244
1982-03,United States,0.244
1982-06,United States,0.246
1982-09,United States,0.249
1982-12,United States,0.251
1983-03,United States,0.253
1983-06,United States,0.255
1983-09,United States,0.257
1983-12,United States,0.256
1984-03,United States,0.255
1984-06,United States,0.253
1984-09,United States,0.252
1984-12,United States,0.252
1985-03,United States,0.253
1985-06,United States,0.255
1985-09,United States,0.256
1985-12,United States,0.256
1986-03,United States,0.255
1986-06,United States,0.255
1986-09,United States,0.255
1986-12,United States,0.256
1987-03,United States,0.256
1987-06,United States,0.256
1987-09,United States,0.257
1987-12,United States,0.258
1988-03,United States,0.258
1988-06,United States,0.259
1988-09,United States,0.259
1988-12,United States,0.258
1989-03,United States,0.256
1989-06,United States,0.254
1989-09,United States,0.254
1989-12,United States,0.256
1990-03,United States,0.257
1990-06,United States,0.257
1990-09,United States,0.257
1990-12,United States,0.258
1991-03,United States,0.261
1991-06,United States,0.263
1991-09,United States,0.266
1991-12,United States,0.268
1992-03,United States,0.269
1992-06,United States,0.269
1992-09,United States,0.269
1992-12,United States,0.269
1993-03,United States,0.271
1993-06,United States,0.272
1993-09,United States,0.273
1993-12,United States,0.273
1994-03,United States,0.274
1994-06,United States,0.273
1994-09,United States,0.272
1994-12,United States,0.27
1995-03,United States,0.268
1995-06,United States,0.265
1995-09,United States,0.265
1995-12,United States,0.265
1996-03,United States,0.264
1996-06,United States,0.263
1996-09,United States,0.262
1996-12,United States,0.261
1997-03,United States,0.26
1997-06,United States,0.26
1997-09,United States,0.259
1997-12,United States,0.258
1998-03,United States,0.257
1998-06,United States,0.255
1998-09,United States,0.253
1998-12,United States,0.25
1999-03,United States,0.249
1999-06,United States,0.247
1999-09,United States,0.249
1999-12,United States,0.251
2000-03,United States,0.253
2000-06,United States,0.254
2000-09,United States,0.255
2000-12,United States,0.257
2001-03,United States,0.259
2001-06,United States,0.262
2001-09,United States,0.264
2001-12,United States,0.266
2002-03,United States,0.268
2002-06,United States,0.269
2002-09,United States,0.271
2002-12,United States,0.273
2003-03,United States,0.275
2003-06,United States,0.276
2003-09,United States,0.277
2003-12,United States,0.278
2004-03,United States,0.279
2004-06,United States,0.279
2004-09,United States,0.28
2004-12,United States,0.279
2005-03,United States,0.279
2005-06,United States,0.279
2005-09,United States,0.279
2005-12,United States,0.279
2006-03,United States,0.277
2006-06,United States,0.275
2006-09,United States,0.274
2006-12,United States,0.273
2007-03,United States,0.272
2007-06,United States,0.271
2007-09,United States,0.27
2007-12,United States,0.272
2008-03,United States,0.274
2008-06,United States,0.273
2008-09,United States,0.275
2008-12,United States,0.279
2009-03,United States,0.286
2009-06,United States,0.292
2009-09,United States,0.297
2009-12,United States,0.299
2010-03,United States,0.3
2010-06,United States,0.299
2010-09,United States,0.299
2010-12,United States,0.301
2011-03,United States,0.297
2011-06,United States,0.297
2011-09,United States,0.299
2011-12,United States,0.296
2012-03,United States,0.292
2012-06,United States,0.293
2012-09,United States,0.295
2012-12,United States,0.29
2013-03,United States,0.288
2013-06,United States,0.291
2013-09,United States,0.299
2013-12,United States,0.298
2014-03,United States,0.292
2014-06,United States,0.289
2014-09,United States,0.294
2014-12,United States,0.295
2015-03,United States,0.293
2015-06,United States,0.296
2015-09,United States,0.299
2015-12,United States,0.293
2016-03,United States,0.292
2016-06,United States,0.294
2016-09,United States,0.293
2016-12,United States,0.29
2017-03,United States,0.286
2017-06,United States,0.289
2017-09,United States,0.291
2017-12,United States,0.288
2018-03,United States,0.286
2018-06,United States,0.284
1979-03,"New York, NY",0.272
1979-06,"New York, NY",0.271
1979-09,"New York, NY",0.269
1979-12,"New York, NY",0.267
1980-03,"New York, NY",0.265
1980-06,"New York, NY",0.265
1980-09,"New York, NY",0.266
1980-12,"New York, NY",0.267
1981-03,"New York, NY",0.267
1981-06,"New York, NY",0.268
1981-09,"New York, NY",0.268
1981-12,"New York, NY",0.268
1982-03,"New York, NY",0.268
1982-06,"New York, NY",0.27
1982-09,"New York, NY",0.27
1982-12,"New York, NY",0.269
1983-03,"New York, NY",0.269
1983-06,"New York, NY",0.268
1983-09,"New York, NY",0.269
1983-12,"New York, NY",0.269
1984-03,"New York, NY",0.269
1984-06,"New York, NY",0.267
1984-09,"New York, NY",0.265
1984-12,"New York, NY",0.263
1985-03,"New York, NY",0.262
1985-06,"New York, NY",0.262
1985-09,"New York, NY",0.262
1985-12,"New York, NY",0.261
1986-03,"New York, NY",0.26
1986-06,"New York, NY",0.258
1986-09,"New York, NY",0.257
1986-12,"New York, NY",0.256
1987-03,"New York, NY",0.254
1987-06,"New York, NY",0.252
1987-09,"New York, NY",0.252
1987-12,"New York, NY",0.252
1988-03,"New York, NY",0.25
1988-06,"New York, NY",0.249
1988-09,"New York, NY",0.249
1988-12,"New York, NY",0.249
1989-03,"New York, NY",0.248
1989-06,"New York, NY",0.247
1989-09,"New York, NY",0.247
1989-12,"New York, NY",0.251
1990-03,"New York, NY",0.254
1990-06,"New York, NY",0.256
1990-09,"New York, NY",0.255
1990-12,"New York, NY",0.254
1991-03,"New York, NY",0.256
1991-06,"New York, NY",0.258
1991-09,"New York, NY",0.261
1991-12,"New York, NY",0.264
1992-03,"New York, NY",0.266
1992-06,"New York, NY",0.267
1992-09,"New York, NY",0.267
1992-12,"New York, NY",0.266
1993-03,"New York, NY",0.269
1993-06,"New York, NY",0.27
1993-09,"New York, NY",0.273
1993-12,"New York, NY",0.272
1994-03,"New York, NY",0.274
1994-06,"New York, NY",0.274
1994-09,"New York, NY",0.276
1994-12,"New York, NY",0.276
1995-03,"New York, NY",0.277
1995-06,"New York, NY",0.277
1995-09,"New York, NY",0.277
1995-12,"New York, NY",0.278
1996-03,"New York, NY",0.278
1996-06,"New York, NY",0.278
1996-09,"New York, NY",0.277
1996-12,"New York, NY",0.277
1997-03,"New York, NY",0.276
1997-06,"New York, NY",0.275
1997-09,"New York, NY",0.274
1997-12,"New York, NY",0.272
1998-03,"New York, NY",0.271
1998-06,"New York, NY",0.27
1998-09,"New York, NY",0.269
1998-12,"New York, NY",0.266
1999-03,"New York, NY",0.263
1999-06,"New York, NY",0.261
1999-09,"New York, NY",0.26
1999-12,"New York, NY",0.263
2000-03,"New York, NY",0.263
2000-06,"New York, NY",0.265
